Source;Target;Type;Weight
1;288;Undirected;5
1;289;Undirected;5
1;291;Undirected;0.5
1;293;Undirected;0.5
1;290;Undirected;5
1;4;Undirected;10
2;293;Undirected;0.5
2;290;Undirected;5
2;4;Undirected;10
2;5;Undirected;10
2;3;Undirected;10
3;291;Undirected;5
5;292;Undirected;5
5;290;Undirected;5
4;290;Undirected;5
2;299;Undirected;5
2;296;Undirected;0.5
2;295;Undirected;0.5
2;300;Undirected;0.5
1;299;Undirected;5
1;296;Undirected;0.5
1;295;Undirected;0.5
1;300;Undirected;0.5
1;294;Undirected;8
289;299;Undirected;5
4;294;Undirected;5
5;294;Undirected;5
3;294;Undirected;5
295;298;Undirected;10
295;301;Undirected;5
295;302;Undirected;5
295;300;Undirected;0.5
295;299;Undirected;0.5
295;296;Undirected;0.5
295;289;Undirected;0.5
2;306;Undirected;5
1;309;Undirected;8
1;310;Undirected;0.5
1;308;Undirected;8
1;312;Undirected;8
1;311;Undirected;0.5
1;313;Undirected;5
1;316;Undirected;0.5
1;315;Undirected;0.5
1;314;Undirected;5
1;306;Undirected;5
4;305;Undirected;10
4;304;Undirected;10
4;307;Undirected;5
4;306;Undirected;5
4;303;Undirected;5
5;305;Undirected;10
5;304;Undirected;10
5;307;Undirected;5
5;306;Undirected;5
5;303;Undirected;5
3;305;Undirected;10
3;304;Undirected;10
3;306;Undirected;5
3;303;Undirected;5
304;306;Undirected;10
305;306;Undirected;10
309;310;Undirected;0.5
309;308;Undirected;8
309;312;Undirected;8
310;308;Undirected;0.5
310;312;Undirected;0.5
308;312;Undirected;8
311;310;Undirected;0.5
311;308;Undirected;0.5
311;312;Undirected;0.5
311;309;Undirected;0.5
313;310;Undirected;5
313;308;Undirected;5
313;312;Undirected;5
313;309;Undirected;5
316;310;Undirected;0.5
316;308;Undirected;0.5
316;312;Undirected;0.5
316;309;Undirected;0.5
315;310;Undirected;0.5
315;308;Undirected;0.5
315;312;Undirected;0.5
315;309;Undirected;0.5
303;304;Undirected;5
303;305;Undirected;8
317;318;Undirected;5
317;319;Undirected;5
318;319;Undirected;5
314;311;Undirected;0.5
314;309;Undirected;5
2;320;Undirected;0.5
2;321;Undirected;0.5
2;365;Undirected;0.5
1;320;Undirected;0.5
1;321;Undirected;0.5
1;365;Undirected;0.5
320;321;Undirected;8
320;322;Undirected;8
321;322;Undirected;8
365;321;Undirected;8
365;320;Undirected;8
365;322;Undirected;8
4;323;Undirected;5
2;325;Undirected;0.5
2;326;Undirected;0.5
2;327;Undirected;0.5
2;147;Undirected;5
2;330;Undirected;0.5
2;331;Undirected;0.5
2;332;Undirected;5
1;325;Undirected;0.5
1;326;Undirected;0.5
1;327;Undirected;0.5
1;147;Undirected;5
1;330;Undirected;0.5
1;331;Undirected;5
1;332;Undirected;0.5
147;290;Undirected;5
147;3;Undirected;5
147;5;Undirected;5
147;4;Undirected;5
147;329;Undirected;0.5
5;329;Undirected;5
4;329;Undirected;5
1;333;Undirected;5
1;336;Undirected;5
288;336;Undirected;5
288;335;Undirected;5
288;333;Undirected;5
335;333;Undirected;5
335;336;Undirected;5
337;338;Undirected;10
339;340;Undirected;10
1;344;Undirected;5
1;343;Undirected;5
1;341;Undirected;10
2;344;Undirected;5
2;343;Undirected;5
2;341;Undirected;10
2;342;Undirected;5
7;341;Undirected;10
7;345;Undirected;5
8;341;Undirected;10
6;341;Undirected;10
6;342;Undirected;5
345;1;Undirected;5
345;341;Undirected;5
1;348;Undirected;5
2;348;Undirected;5
350;351;Undirected;5
347;346;Undirected;10
351;352;Undirected;10
1;349;Undirected;5
2;349;Undirected;5
2;353;Undirected;0.5
2;366;Undirected;5
2;367;Undirected;5
1;355;Undirected;5
1;354;Undirected;5
6;353;Undirected;0.5
6;357;Undirected;5
7;355;Undirected;5
7;354;Undirected;5
353;357;Undirected;5
353;17;Undirected;5
18;353;Undirected;5
2;372;Undirected;5
2;373;Undirected;0.5
2;374;Undirected;0.5
2;368;Undirected;0.5
2;369;Undirected;0.5
2;370;Undirected;0.5
2;371;Undirected;0.5
2;358;Undirected;0.5
2;103;Undirected;0.5
1;372;Undirected;5
1;373;Undirected;0.5
1;374;Undirected;0.5
1;368;Undirected;0.5
1;369;Undirected;0.5
1;370;Undirected;0.5
1;371;Undirected;0.5
1;358;Undirected;0.5
1;103;Undirected;0.5
7;375;Undirected;8
373;374;Undirected;5
373;368;Undirected;5
373;369;Undirected;5
373;370;Undirected;5
373;371;Undirected;5
368;369;Undirected;5
368;370;Undirected;5
368;371;Undirected;5
369;370;Undirected;5
369;371;Undirected;5
370;371;Undirected;5
7;376;Undirected;5
7;360;Undirected;0.5
8;376;Undirected;5
8;360;Undirected;0.5
16;377;Undirected;5
16;14;Undirected;10
359;95;Undirected;5
2;14;Undirected;8
2;363;Undirected;5
2;9;Undirected;8
2;361;Undirected;5
2;21;Undirected;8
2;362;Undirected;5
2;359;Undirected;0.5
6;14;Undirected;5
6;95;Undirected;5
1;361;Undirected;5
1;21;Undirected;5
1;362;Undirected;5
1;14;Undirected;5
377;359;Undirected;0.5
20;377;Undirected;5
20;21;Undirected;5
2;364;Undirected;5
1;7;Undirected;10
1;8;Undirected;10
1;6;Undirected;10
1;2;Undirected;10
1;25;Undirected;0.5
1;29;Undirected;0.5
1;31;Undirected;0.5
1;30;Undirected;0.5
1;32;Undirected;0.5
1;36;Undirected;5
1;34;Undirected;5
1;38;Undirected;0.5
1;40;Undirected;0.5
1;10;Undirected;8
1;41;Undirected;5
1;11;Undirected;5
1;12;Undirected;5
1;42;Undirected;5
1;14;Undirected;8
1;16;Undirected;0.5
1;47;Undirected;5
1;45;Undirected;5
1;46;Undirected;5
1;48;Undirected;5
1;49;Undirected;5
1;54;Undirected;10
1;55;Undirected;5
1;19;Undirected;5
1;20;Undirected;5
1;17;Undirected;5
1;58;Undirected;5
1;59;Undirected;5
1;61;Undirected;5
1;62;Undirected;5
1;21;Undirected;8
1;22;Undirected;0.5
2;7;Undirected;10
2;8;Undirected;10
2;6;Undirected;10
2;25;Undirected;0.5
2;29;Undirected;5
2;31;Undirected;0.5
2;30;Undirected;0.5
2;9;Undirected;0.5
2;32;Undirected;0.5
2;36;Undirected;5
2;34;Undirected;8
2;37;Undirected;5
2;41;Undirected;5
2;11;Undirected;5
2;12;Undirected;5
2;42;Undirected;5
2;47;Undirected;5
2;45;Undirected;5
2;46;Undirected;0.5
2;48;Undirected;5
2;49;Undirected;5
2;58;Undirected;5
2;59;Undirected;5
2;61;Undirected;5
2;62;Undirected;5
2;21;Undirected;8
2;14;Undirected;8
