Source,Target,Type,Id,Label,timeset,Weight
1,288,Undirected,0,,,5
1,289,Undirected,1,,,5
1,291,Undirected,2,,,0.5
1,293,Undirected,3,,,0.5
1,290,Undirected,4,,,5
1,4,Undirected,5,,,10
2,293,Undirected,6,,,0.5
2,290,Undirected,7,,,5
2,4,Undirected,8,,,10
2,5,Undirected,9,,,10
2,3,Undirected,10,,,10
3,291,Undirected,11,,,5
5,292,Undirected,12,,,5
5,290,Undirected,13,,,5
4,290,Undirected,14,,,5
2,299,Undirected,15,,,5
2,296,Undirected,16,,,0.5
2,295,Undirected,17,,,0.5
2,300,Undirected,18,,,0.5
1,299,Undirected,19,,,5
1,296,Undirected,20,,,0.5
1,295,Undirected,21,,,0.5
1,300,Undirected,22,,,0.5
1,294,Undirected,23,,,8
289,299,Undirected,24,,,5
4,294,Undirected,25,,,5
5,294,Undirected,26,,,5
3,294,Undirected,27,,,5
295,298,Undirected,28,,,10
295,301,Undirected,29,,,5
295,302,Undirected,30,,,5
295,300,Undirected,31,,,0.5
295,299,Undirected,32,,,0.5
295,296,Undirected,33,,,0.5
295,289,Undirected,34,,,0.5
2,306,Undirected,35,,,5
1,309,Undirected,36,,,8
1,310,Undirected,37,,,0.5
1,308,Undirected,38,,,8
1,312,Undirected,39,,,8
1,311,Undirected,40,,,0.5
1,313,Undirected,41,,,5
1,316,Undirected,42,,,0.5
1,315,Undirected,43,,,0.5
1,314,Undirected,44,,,5
1,306,Undirected,45,,,5
4,305,Undirected,46,,,10
4,304,Undirected,47,,,10
4,307,Undirected,48,,,5
4,306,Undirected,49,,,5
4,303,Undirected,50,,,5
5,305,Undirected,51,,,10
5,304,Undirected,52,,,10
5,307,Undirected,53,,,5
5,306,Undirected,54,,,5
5,303,Undirected,55,,,5
3,305,Undirected,56,,,10
3,304,Undirected,57,,,10
3,306,Undirected,58,,,5
3,303,Undirected,59,,,5
304,306,Undirected,60,,,10
305,306,Undirected,61,,,10
309,310,Undirected,62,,,0.5
309,308,Undirected,63,,,8
309,312,Undirected,64,,,8
310,308,Undirected,65,,,0.5
310,312,Undirected,66,,,0.5
308,312,Undirected,67,,,8
311,310,Undirected,68,,,0.5
311,308,Undirected,69,,,0.5
311,312,Undirected,70,,,0.5
311,309,Undirected,71,,,0.5
313,310,Undirected,72,,,5
313,308,Undirected,73,,,5
313,312,Undirected,74,,,5
313,309,Undirected,75,,,5
316,310,Undirected,76,,,0.5
