Id,Label,timeset,degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,clustering,triangles
1,Morty C137,,204,4,0.683694,0.785201,29197.596382,0,0.017338,359
2,Rick C137,,190,4,0.666667,0.765565,26513.761759,0,0.016876,303
3,Summer C137,,12,5,0.461538,0.485728,380.073385,0,0.484848,32
4,Jerry C137,,15,5,0.463382,0.490038,982.450809,0,0.361905,38
5,Beth C137,,15,5,0.463382,0.490038,982.450809,0,0.361905,38
6,Summer N/A,,77,5,0.528875,0.594444,7759.540702,0,0.06015,176
7,Jerry N/A,,55,5,0.50508,0.558525,5905.718103,0,0.090236,134
8,Beth N/A,,49,5,0.498567,0.548467,3514.292994,0,0.112245,132
9,Revolio Clockberg Jr.,,2,5,0.436637,0.456753,0,0,1,1
10,Sr. Bunda Cagada (Poopybutthole),,10,5,0.469636,0.490517,732.473815,0,0.422222,19
11,O Presidente,,5,5,0.439949,0.4625,27.269048,0,0.7,7
12,Exercito,,4,5,0.439394,0.461063,0,0,1,6
13,Policiais,,1,5,0.406542,0.428496,0,0,0,0
14,Homem p�ssaro,,7,5,0.462151,0.481897,0.188034,0,0.952381,20
15,Pessoa F�nix,,4,5,0.414286,0.438793,0.571429,0,0.833333,5
16,Tammy,,11,5,0.47027,0.491954,247.71026,0,0.509091,28
17,Sr. Goldenfold,,12,5,0.445013,0.473276,99.411572,0,0.469697,31
18,Diretor Vagina,,10,5,0.442748,0.469444,80.322816,0,0.577778,26
19,Estudantes da Harry Herpson,,3,5,0.42029,0.443103,0,0,1,3
20,Jessica,,6,5,0.442748,0.465134,463.769128,0,0.266667,4
21,Squanchy,,9,5,0.469003,0.48908,26.192086,0,0.777778,28
22,Federa��o Gal�ctica,,10,5,0.469003,0.490038,52.450982,0,0.644444,29
23,M�dica Veterin�ria,,6,6,0.34252,0.364751,0,0,1,15
24,Enfermeiro,,6,6,0.34252,0.364751,0,0,1,15
25,Monstro Test�culo,,3,5,0.449612,0.468008,0,0,1,3
26,Sorveteria Cold Stone,,6,6,0.34252,0.364751,0,0,1,15
27,Ca�ador,,6,6,0.34252,0.364751,0,0,1,15
28,Advogado do Ca�ador,,6,6,0.34252,0.364751,0,0,1,15
29,Krombopolus Michael,,3,5,0.437186,0.45819,0,0,1,3
30,Flatul�ncia,,3,5,0.437186,0.45819,0,0,1,3
31,Gromflamites,,3,5,0.437186,0.45819,0,0,1,3
32,Policia do Mundo Engrenagem,,3,5,0.437186,0.45819,0,0,1,3
33,Jerryboree (creche dos jerrys),,1,6,0.335907,0.350623,0,0,0,0
34,Unidade,,6,5,0.451362,0.472318,58.069444,0,0.6,9
35,Populacao do Planeta arvores Mentirosas,,1,6,0.320737,0.328831,0,0,0,0
36,Tripula��o Alienigena,,4,5,0.450194,0.469444,0,0,1,6
37,Beta Sete,,2,5,0.401384,0.423946,0,0,1,1
38,Populacao do Planeta Alienigena,,3,5,0.420798,0.443582,0,0,1,3
39,"Blim Blam, o Korblok",,2,6,0.341176,0.359004,0,0,1,1
40,Parasita Alienigena,,5,5,0.439949,0.462261,0,0,1,10
41,Populacao do Planeta Musica,,13,5,0.471545,0.494828,799.520788,0,0.397436,31
42,Ice-T,,3,5,0.43884,0.459626,0,0,1,3
43,Crentes,,6,6,0.365931,0.393247,0,0,1,15
44,Populacao do Planeta Parblesnops,,1,6,0.320737,0.328831,0,0,0,0
45,Chris,,3,5,0.437186,0.45819,0,0,1,3
46,Zeep Xanflorp,,5,5,0.438287,0.461063,1,0,0.7,7
47,Populacao do Microverso,,2,5,0.436637,0.456753,0,0,1,1
48,Populacao do Miniverso,,3,5,0.437186,0.45819,0,0,1,3
49,Populacao do Nanoverso,,3,5,0.437186,0.45819,0,0,1,3
50,Policia (Outra Dimens�o),,1,6,0.346269,0.363314,0,0,0,0
51,Militares (Outra Dimens�o),,1,6,0.346269,0.363314,0,0,0,0
52,Glaxo Slimslom,,4,6,0.341847,0.361877,0.25,0,0.833333,5
53,Funcion�rios do Nuptia 4,,4,6,0.341847,0.361877,0.25,0,0.833333,5
54,Pequeno Rick,,4,5,0.420798,0.44454,0,0,1,6
55,Toby Matthews,,2,5,0.419783,0.441667,0,0,1,1
56,Monstro Beth,,4,6,0.341847,0.361877,0.25,0,0.833333,5
57,Monstro Jerry,,4,6,0.341847,0.361877,0.25,0,0.833333,5
58,Funcion�rios e Pacientes do Hospital Alienigena,,5,5,0.465241,0.482375,0,0,1,10
59,Dr. Glip Glop,,5,5,0.465241,0.482375,0,0,1,10
60,Shrimply Pibbles,,1,6,0.335907,0.350623,0,0,0,0
61,Populacao do Planeta de Purgas,,2,5,0.436637,0.456753,0,0,1,1
62,Arthrisha,,2,5,0.436637,0.456753,0,0,1,1
63,Pat Guterman,,2,6,0.341176,0.359004,0,0,1,1
64,Donna Guterman,,2,6,0.341176,0.359004,0,0,1,1
65,Rick D -99,,1,5,0.40046,0.422031,0,0,0,0
66,Conroy,,5,5,0.439394,0.461782,0,0,1,10
67,Conselho dos Rick,,3,5,0.449612,0.468008,0,0,1,3
68,Imorragia,,3,5,0.449612,0.468008,0,0,1,3
69,Armorthy,,2,5,0.407494,0.430412,39.19127,0,0,0
70,Lord Henderfinger,,3,6,0.355465,0.377682,18.533333,0,0.333333,1
71,Colossus,,3,5,0.449612,0.468008,0,0,1,3
72,Eli,,1,6,0.346269,0.363314,0,0,0,0
73,Namorada de Eli,,1,6,0.346269,0.363314,0,0,0,0
74,Dr. Wong,,2,5,0.436637,0.456753,0,0,1,1
75,Diretor da Ag�ncia,,2,5,0.400922,0.423467,0,0,1,1
76,Jaguar,,2,5,0.400922,0.423467,0,0,1,1
77,Concerto,,2,5,0.436637,0.456753,0,0,1,1
78,Ethan,,4,5,0.421308,0.445019,41.371429,0,0.5,3
79,Noob-Noob,,2,5,0.436637,0.456753,0,0,1,1
80,Super nova,,7,5,0.439394,0.463937,10.860354,0,0.952381,20
81,Vance Maximus,,7,5,0.439394,0.463937,10.860354,0,0.952381,20
82,Logic DJ,,1,5,0.40046,0.422031,0,0,0,0
83,Alan Rails,,7,5,0.439394,0.463937,10.860354,0,0.952381,20
84,Millions Ants,,6,5,0.402778,0.429215,0,0,1,15
85,Crocubot,,7,5,0.439394,0.463937,10.860354,0,0.952381,20
86,Worldender,,7,5,0.439394,0.463937,10.860354,0,0.952381,20
87,Tiny Costumer,,2,5,0.419783,0.442385,0,0,1,1
88,Risotto,,4,5,0.453125,0.472557,0,0,1,6
89,Triple Trunks,,1,5,0.40046,0.422031,0,0,0,0
90,Tusked Assassin,,2,5,0.418773,0.440948,0,0,1,1
91,Shnoopy Bloopers,,2,5,0.401848,0.424425,15.409127,0,0,0
92,Tricia Lange,,5,5,0.43609,0.458908,7.042857,0,0.8,8
93,Toxic Rick,,2,5,0.436637,0.456753,0,0,1,1
94,Toxic Morty,,2,5,0.436637,0.456753,0,0,1,1
95,Nancy,,3,5,0.421308,0.444061,40.671429,0,0.333333,1
96,Stacy,,1,5,0.406542,0.428496,0,0,0,0
97,Jacqueline,,1,5,0.406542,0.428496,0,0,0,0
98,Mitch,,1,5,0.406542,0.428496,0,0,0,0
99,Rick K-22,,1,5,0.40046,0.422031,0,0,0,0
100,Morty K-22,,1,5,0.40046,0.422031,0,0,0,0
101,Rick D716,,1,5,0.40046,0.422031,0,0,0,0
102,Rick D716-B,,1,5,0.40046,0.422031,0,0,0,0
103,Morty Presidente,,3,5,0.437186,0.45819,17.125,0,0.666667,2
104,Manager Morty,,3,5,0.407972,0.431849,29.467857,0,0.333333,1
105,Professor Rick,,1,5,0.40046,0.422031,0,0,0,0
106,Policial Morty,,2,5,0.407494,0.430412,28.884524,0,0,0
107,Policial Rick,,2,5,0.401384,0.423946,24.792857,0,0,0
108,Rick investigador,,2,5,0.401384,0.423946,17.125,0,0,0
109,Rick Drogado,,1,5,0.40046,0.422031,0,0,0,0
110,Rick Fazendeiro,,1,5,0.40046,0.422031,0,0,0,0
111,Big morty,,1,5,0.406542,0.428496,0,0,0,0
112,Rick III,,1,5,0.40046,0.422031,0,0,0,0
113,Sr.Luna,,2,5,0.407972,0.430891,0,0,1,1
114,Piloto Interestelar,,2,5,0.436637,0.456753,0,0,1,1
115,Floop Floopiano,,2,5,0.436637,0.456753,0,0,1,1
116,Tommy Lipnip,,2,5,0.412322,0.434962,0,0,1,1
117,Kiara,,4,5,0.435544,0.457471,347,0,0.5,3
118,Varrix,,1,6,0.303665,0.312261,0,0,0,0
119,Mrs. Poopybutthole,,2,6,0.320147,0.328831,0,0,1,1
120,Baby Poopybutthole,,2,6,0.320147,0.328831,0,0,1,1
